imdbID,Title,WatchedDate,Rating10
tt0000010,La sortie de l'usine Lumière à Lyon,2013-06-09,5
tt0100150,Miller's Crossing,2013-01-04,6
tt0100234,Nema-ye Nazdik,2014-07-14,6
tt1002539,Liverpool,2015-06-12,6
tt0100508,Rodrigo D: No futuro,2015-05-21,8
tt0100557,Das schreckliche Mädchen,2018-10-14,8
tt0100732,Szürkület,2014-11-19,7
tt0100784,Tilaï,2014-11-03,6
tt0100802,Total Recall,2012-10-20,7
tt0100935,Wild at Heart,2012-10-20,5
tt1010048,Slumdog Millionaire,2012-10-20,6
tt0101258,Ah fei zing zyun,2013-08-28,7
tt0101318,Les amants du Pont-Neuf,2013-09-25,8
tt1013746,Turen til Squashland,2015-12-06,5
tt1013752,Fast & Furious,2014-01-26,2
tt0101410,Barton Fink,2012-09-18,9
tt0101420,Begotten,2017-12-05,7
tt0101507,Boyz n the Hood,2018-09-13,7
tt0101610,Confesión a Laura,2015-06-15,6
tt0101640,Da hong deng long gao gao gua,2013-12-18,8
tt0101700,Delicatessen,2012-10-20,7
tt0101765,La double vie de Véronique,2020-03-25,6
tt0102050,Homo Faber,2018-10-11,6
tt0102057,Hook,2010-06-13,5
tt0102059,Hot Shots!,2012-10-20,5
tt1020972,Mang shan,2015-01-13,8
tt0102266,The Last Boy Scout,2012-10-20,4
tt1024648,Argo,2012-11-16,5
tt1024715,Choke,2012-10-20,4
tt0102494,My Own Private Idaho,2016-06-05,7
tt0102511,Naked Lunch,2013-11-01,7
tt0102629,Pappa ante Portas,2016-04-24,7
tt0102721,Proof,2016-02-23,6
tt0010281,Ich möchte kein Mann sein,2015-02-11,6
tt0102816,Ruan Ling Yu,2014-08-18,8
tt0102926,The Silence of the Lambs,2012-10-20,8
tt0102943,Slacker,2016-05-31,6
tt0103064,Terminator 2: Judgment Day,2012-10-20,8
tt0103074,Thelma & Louise,2020-03-15,8
tt0103190,Van Gogh,2014-07-05,6
tt0010323,Das Cabinet des Dr. Caligari,2013-12-12,8
tt1032846,"4 luni, 3 saptamâni si 2 zile",2013-06-28,8
tt1032941,Ye che,2014-12-16,6
tt0103301,Året gjennom Børfjord,2015-09-27,6
tt1033501,Uta,2015-08-19,8
tt1033575,The Descendants,2012-10-20,6
tt1034303,Defiance,2012-10-20,5
tt0103644,Alien³,2012-10-20,6
tt0103704,"Ano natsu, ichiban shizukana umi",2015-08-12,8
tt0103759,Bad Lieutenant,2020-02-15,6
tt1038988,[Rec],2012-10-20,1
tt0103905,C'est arrivé près de chez vous,2013-01-25,6
tt0103935,Qing shao nian nuo zha,2014-04-02,8
tt0103994,Como agua para chocolate,2014-10-05,6
tt0104431,Home Alone 2: Lost in New York,2014-01-27,6
tt0104467,Hyènes,2014-09-13,7
tt0104652,Kurenai no buta,2013-08-27,7
tt0104662,El lado oscuro del corazón,2015-06-03,6
tt0104706,Lektionen in Finsternis,2015-04-02,9
tt0104753,The Long Day Closes,2014-07-05,7
tt1049413,Up,2012-10-20,6
tt0105197,Qiu Ju da guan si,2015-08-01,6
tt0105236,Reservoir Dogs,2011-10-13,9
tt0105312,Sangatsu no raion,2014-12-20,6
tt0105328,Schtonk,2014-04-01,6
tt0105355,A Sense of History,2014-06-18,6
tt0105438,El sol del membrillo,2018-10-25,6
tt0105569,Tetsuo II: Body Hammer,2014-12-27,6
tt0105618,Le tombeau d'Alexandre,2015-04-08,6
tt0105695,Unforgiven,2012-10-20,8
tt0105764,Visions of Light,2013-04-05,6
tt0105888,Zendegi va digar hich,2015-07-23,8
tt1059291,Pruska kultura,2013-12-24,4
tt1060277,Cloverfield,2012-10-20,3
tt0106305,La ardilla roja,2018-10-13,8
tt0106308,Army of Darkness,2012-10-20,6
tt0106332,Ba wang bie ji,2015-10-03,8
tt0106341,Bad Boy Bubby,2018-01-28,7
tt1063669,Die Welle,2014-01-29,6
tt0106385,Belovy,2015-09-17,6
tt1065073,Boyhood,2014-07-21,8
tt0106579,"Clean, Shaven",2016-05-30,7
tt0106642,D'Est,2016-04-26,8
tt1066452,Lacrimae rerum,2015-03-12,6
tt0106677,Dazed and Confused,2015-03-17,8
tt0106750,Dongchun de rizi,2015-10-22,6
tt0106856,Falling Down,2012-10-20,5
tt0107048,Groundhog Day,2012-10-20,7
tt0107064,Gyerekgyilkosságok,2016-04-18,8
tt0107157,Xi meng ren sheng,2013-11-11,8
tt0107175,Hélas pour moi,2017-03-13,5
tt0107322,King of the Hill,2018-07-20,5
tt1073498,Meet the Spartans,2012-10-20,2
tt0107358,Lan feng zheng,2015-10-04,8
